==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.5123261 1.7083005], train_acc=[0.50055 0.41355]
2/100: train_loss=[1.0697052 1.2221342], train_acc=[0.6532  0.58425]
4/100: train_loss=[0.7911429 0.9180008], train_acc=[0.74285 0.69105]
6/100: train_loss=[0.67914754 0.793131  ], train_acc=[0.7776 0.7308]
8/100: train_loss=[0.6135765 0.725679 ], train_acc=[0.801  0.7601]
10/100: train_loss=[0.5716495  0.66144186], train_acc=[0.8153  0.78045]
12/100: train_loss=[0.51924974 0.62900925], train_acc=[0.829  0.7874]
14/100: train_loss=[0.49232948 0.6188798 ], train_acc=[0.84005 0.79215]
16/100: train_loss=[0.47786072 0.5639299 ], train_acc=[0.8428 0.8103]
18/100: train_loss=[0.45566347 0.56661415], train_acc=[0.84795 0.8085 ]
20/100: train_loss=[0.43956476 0.5467483 ], train_acc=[0.85605 0.81595]
22/100: train_loss=[0.42377788 0.5194254 ], train_acc=[0.86   0.8277]
24/100: train_loss=[0.41619816 0.52363473], train_acc=[0.86415 0.8254 ]
26/100: train_loss=[0.41181827 0.51096594], train_acc=[0.86325 0.8291 ]
28/100: train_loss=[0.40719044 0.5020637 ], train_acc=[0.8667  0.83405]
30/100: train_loss=[0.40416288 0.50448066], train_acc=[0.86775 0.831  ]
32/100: train_loss=[0.40631062 0.5047637 ], train_acc=[0.8667 0.8283]
34/100: train_loss=[0.3788312  0.48988807], train_acc=[0.87435 0.83805]
36/100: train_loss=[0.37424216 0.4716658 ], train_acc=[0.8746  0.84245]
38/100: train_loss=[0.3702125  0.45774677], train_acc=[0.87565 0.8465 ]
40/100: train_loss=[0.37767765 0.51687795], train_acc=[0.87435 0.8271 ]
42/100: train_loss=[0.3773223 0.4433627], train_acc=[0.87385 0.85065]
44/100: train_loss=[0.37481096 0.43801552], train_acc=[0.87395 0.8536 ]
46/100: train_loss=[0.36208493 0.45159662], train_acc=[0.8806 0.8483]
48/100: train_loss=[0.35852805 0.42797953], train_acc=[0.8814  0.85595]
50/100: train_loss=[0.34929058 0.42185077], train_acc=[0.8847 0.861 ]
52/100: train_loss=[0.33817565 0.4376599 ], train_acc=[0.888  0.8553]
54/100: train_loss=[0.3354411 0.4199235], train_acc=[0.8901  0.85955]
56/100: train_loss=[0.3447164  0.41920424], train_acc=[0.88865 0.85885]
58/100: train_loss=[0.33703306 0.4186206 ], train_acc=[0.88975 0.8594 ]
60/100: train_loss=[0.33524245 0.41809446], train_acc=[0.88985 0.86065]
62/100: train_loss=[0.32823646 0.40569904], train_acc=[0.89195 0.8662 ]
64/100: train_loss=[0.3313769  0.40366006], train_acc=[0.89315 0.8645 ]
66/100: train_loss=[0.33728522 0.40571514], train_acc=[0.889   0.86135]
68/100: train_loss=[0.3366343  0.40663746], train_acc=[0.88905 0.86225]
70/100: train_loss=[0.32924584 0.39397636], train_acc=[0.894 0.865]
72/100: train_loss=[0.32447955 0.4235941 ], train_acc=[0.89425 0.8573 ]
74/100: train_loss=[0.3246532  0.40448162], train_acc=[0.89395 0.86355]
76/100: train_loss=[0.3228839 0.3827507], train_acc=[0.8955  0.87085]
78/100: train_loss=[0.318543   0.38870493], train_acc=[0.8965  0.86855]
80/100: train_loss=[0.32589558 0.38547164], train_acc=[0.89365 0.87235]
82/100: train_loss=[0.31801823 0.37828007], train_acc=[0.89705 0.87115]
84/100: train_loss=[0.31619072 0.38194478], train_acc=[0.89655 0.8716 ]
86/100: train_loss=[0.3179315  0.37800074], train_acc=[0.89645 0.87565]
88/100: train_loss=[0.31222653 0.37287045], train_acc=[0.89655 0.87635]
90/100: train_loss=[0.31585968 0.37720153], train_acc=[0.8973  0.87555]
92/100: train_loss=[0.3081742  0.38555396], train_acc=[0.8985  0.87315]
94/100: train_loss=[0.30752444 0.37658766], train_acc=[0.8995  0.87415]
96/100: train_loss=[0.32768548 0.3773703 ], train_acc=[0.8924  0.87445]
98/100: train_loss=[0.30670354 0.37035087], train_acc=[0.9006  0.87635]
100/100: train_loss=[0.30589053 0.38668188], train_acc=[0.89945 0.87225]
**** Time taken for mnist_0 = 2612.893307685852
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.7759215 2.1478615], train_acc=[0.38855 0.22195]
2/100: train_loss=[1.1457505 1.3411824], train_acc=[0.6122 0.5444]
4/100: train_loss=[0.8625813  0.92672473], train_acc=[0.7135 0.6859]
6/100: train_loss=[0.72363514 0.7622384 ], train_acc=[0.7605  0.74105]
8/100: train_loss=[0.6427481  0.69524395], train_acc=[0.7857  0.76665]
10/100: train_loss=[0.5995188  0.63865936], train_acc=[0.8035  0.78315]
12/100: train_loss=[0.5736284 0.6119128], train_acc=[0.8114  0.79335]
14/100: train_loss=[0.54589623 0.57180923], train_acc=[0.8189  0.80715]
16/100: train_loss=[0.5033669  0.55799145], train_acc=[0.83295 0.8092 ]
18/100: train_loss=[0.4859402 0.5402267], train_acc=[0.8386  0.81845]
20/100: train_loss=[0.46422476 0.50897586], train_acc=[0.84635 0.8301 ]
22/100: train_loss=[0.45716718 0.5024178 ], train_acc=[0.849   0.83175]
24/100: train_loss=[0.4618442  0.48711285], train_acc=[0.8484 0.8357]
