Script started.
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: weight=tensor([0.7777, 0.6287], device='cuda:0', requires_grad=True) train_loss=[1.4273628 1.6867273], train_acc=[0.52435 0.42965]
2/100: weight=tensor([0.7750, 0.6319], device='cuda:0', requires_grad=True) train_loss=[1.1099311 1.2760063], train_acc=[0.6283  0.56835]
4/100: weight=tensor([0.7733, 0.6341], device='cuda:0', requires_grad=True) train_loss=[0.72942984 0.8953893 ], train_acc=[0.7644 0.6993]
6/100: weight=tensor([0.7126, 0.7016], device='cuda:0', requires_grad=True) train_loss=[0.6162768  0.75981325], train_acc=[0.8017  0.74455]
8/100: weight=tensor([0.7382, 0.6745], device='cuda:0', requires_grad=True) train_loss=[0.5498343 0.6855071], train_acc=[0.82395 0.7759 ]
10/100: weight=tensor([0.7466, 0.6653], device='cuda:0', requires_grad=True) train_loss=[0.5038085  0.63985616], train_acc=[0.83715 0.78305]
12/100: weight=tensor([0.7271, 0.6865], device='cuda:0', requires_grad=True) train_loss=[0.4742321 0.5786942], train_acc=[0.8464  0.80785]
14/100: weight=tensor([0.8190, 0.5738], device='cuda:0', requires_grad=True) train_loss=[0.44863105 0.55763644], train_acc=[0.8559 0.8152]
16/100: weight=tensor([0.7346, 0.6784], device='cuda:0', requires_grad=True) train_loss=[0.4262614 0.5277107], train_acc=[0.86205 0.8216 ]
18/100: weight=tensor([0.7300, 0.6835], device='cuda:0', requires_grad=True) train_loss=[0.40945667 0.51323086], train_acc=[0.867  0.8247]
20/100: weight=tensor([0.7911, 0.6117], device='cuda:0', requires_grad=True) train_loss=[0.4167193  0.51284754], train_acc=[0.86395 0.82335]
22/100: weight=tensor([0.7404, 0.6722], device='cuda:0', requires_grad=True) train_loss=[0.39083478 0.4930645 ], train_acc=[0.87155 0.8335 ]
24/100: weight=tensor([0.7119, 0.7023], device='cuda:0', requires_grad=True) train_loss=[0.38722178 0.49855217], train_acc=[0.87365 0.8358 ]
26/100: weight=tensor([0.7365, 0.6764], device='cuda:0', requires_grad=True) train_loss=[0.37426668 0.4891693 ], train_acc=[0.87585 0.83615]
28/100: weight=tensor([0.7964, 0.6047], device='cuda:0', requires_grad=True) train_loss=[0.36678672 0.46456727], train_acc=[0.87805 0.84705]
30/100: weight=tensor([0.7541, 0.6568], device='cuda:0', requires_grad=True) train_loss=[0.3647827  0.45222244], train_acc=[0.8809  0.84765]
32/100: weight=tensor([0.7521, 0.6590], device='cuda:0', requires_grad=True) train_loss=[0.35493442 0.44938874], train_acc=[0.88345 0.85095]
34/100: weight=tensor([0.7360, 0.6770], device='cuda:0', requires_grad=True) train_loss=[0.35144255 0.43802828], train_acc=[0.88495 0.8543 ]
36/100: weight=tensor([0.7549, 0.6558], device='cuda:0', requires_grad=True) train_loss=[0.35783568 0.45155475], train_acc=[0.8818  0.85025]
38/100: weight=tensor([0.7644, 0.6447], device='cuda:0', requires_grad=True) train_loss=[0.3411496 0.4310185], train_acc=[0.8889 0.8576]
40/100: weight=tensor([0.7458, 0.6662], device='cuda:0', requires_grad=True) train_loss=[0.35114104 0.4366286 ], train_acc=[0.88325 0.85505]
42/100: weight=tensor([0.7367, 0.6762], device='cuda:0', requires_grad=True) train_loss=[0.33230156 0.42100066], train_acc=[0.8915 0.8618]
44/100: weight=tensor([0.7737, 0.6336], device='cuda:0', requires_grad=True) train_loss=[0.33144352 0.4109413 ], train_acc=[0.891   0.86335]
46/100: weight=tensor([0.7769, 0.6296], device='cuda:0', requires_grad=True) train_loss=[0.32993993 0.4055458 ], train_acc=[0.89185 0.8669 ]
48/100: weight=tensor([0.7643, 0.6449], device='cuda:0', requires_grad=True) train_loss=[0.32994664 0.40563035], train_acc=[0.89085 0.8666 ]
50/100: weight=tensor([0.7434, 0.6688], device='cuda:0', requires_grad=True) train_loss=[0.33885476 0.40888226], train_acc=[0.88815 0.8641 ]
52/100: weight=tensor([0.7643, 0.6449], device='cuda:0', requires_grad=True) train_loss=[0.3263214 0.4126832], train_acc=[0.8918 0.8656]
54/100: weight=tensor([0.7682, 0.6403], device='cuda:0', requires_grad=True) train_loss=[0.32797387 0.40273717], train_acc=[0.89095 0.86635]
56/100: weight=tensor([0.7613, 0.6484], device='cuda:0', requires_grad=True) train_loss=[0.32000476 0.4108731 ], train_acc=[0.89515 0.8654 ]
58/100: weight=tensor([0.7753, 0.6316], device='cuda:0', requires_grad=True) train_loss=[0.32093006 0.38844112], train_acc=[0.89655 0.87185]
60/100: weight=tensor([0.7567, 0.6537], device='cuda:0', requires_grad=True) train_loss=[0.31225392 0.40034983], train_acc=[0.897   0.86595]
62/100: weight=tensor([0.7384, 0.6744], device='cuda:0', requires_grad=True) train_loss=[0.31479096 0.41921613], train_acc=[0.897   0.86055]
64/100: weight=tensor([0.7904, 0.6126], device='cuda:0', requires_grad=True) train_loss=[0.30756134 0.38908052], train_acc=[0.89995 0.87175]
66/100: weight=tensor([0.7444, 0.6677], device='cuda:0', requires_grad=True) train_loss=[0.3135204  0.40103748], train_acc=[0.89835 0.8673 ]
68/100: weight=tensor([0.7370, 0.6759], device='cuda:0', requires_grad=True) train_loss=[0.30342105 0.39235032], train_acc=[0.9006  0.87005]
70/100: weight=tensor([0.7438, 0.6684], device='cuda:0', requires_grad=True) train_loss=[0.30290157 0.37867633], train_acc=[0.89895 0.87455]
72/100: weight=tensor([0.7263, 0.6874], device='cuda:0', requires_grad=True) train_loss=[0.30729067 0.39883173], train_acc=[0.8992 0.8686]
74/100: weight=tensor([0.7630, 0.6464], device='cuda:0', requires_grad=True) train_loss=[0.30999756 0.39670482], train_acc=[0.8991 0.8688]
76/100: weight=tensor([0.7675, 0.6410], device='cuda:0', requires_grad=True) train_loss=[0.30046517 0.37451202], train_acc=[0.9007 0.8759]
78/100: weight=tensor([0.7335, 0.6796], device='cuda:0', requires_grad=True) train_loss=[0.30590695 0.37676522], train_acc=[0.8998  0.87615]
80/100: weight=tensor([0.7853, 0.6191], device='cuda:0', requires_grad=True) train_loss=[0.3020205  0.37493333], train_acc=[0.9005  0.87635]
82/100: weight=tensor([0.7369, 0.6760], device='cuda:0', requires_grad=True) train_loss=[0.30737963 0.37369052], train_acc=[0.89845 0.87665]
84/100: weight=tensor([0.7780, 0.6283], device='cuda:0', requires_grad=True) train_loss=[0.29719013 0.37485602], train_acc=[0.90265 0.87705]
86/100: weight=tensor([0.7931, 0.6091], device='cuda:0', requires_grad=True) train_loss=[0.30006197 0.36994898], train_acc=[0.89995 0.878  ]
88/100: weight=tensor([0.7401, 0.6725], device='cuda:0', requires_grad=True) train_loss=[0.2957356  0.37648094], train_acc=[0.90385 0.8766 ]
