Preference Vector = [1. 0.]
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.0043354 8.950572 ], train_acc=[0.6748  0.10655]
2/100: train_loss=[ 0.7624692 10.226028 ], train_acc=[0.75555 0.10615]
4/100: train_loss=[ 0.5917447 11.58917  ], train_acc=[0.80975 0.10145]
6/100: train_loss=[ 0.5053002 12.686679 ], train_acc=[0.83635 0.09955]
8/100: train_loss=[ 0.48032922 13.142305  ], train_acc=[0.84105 0.0995 ]
10/100: train_loss=[ 0.4275557 12.836503 ], train_acc=[0.8612 0.0985]
12/100: train_loss=[ 0.4228594 12.5991535], train_acc=[0.86255 0.09875]
14/100: train_loss=[ 0.3940789 12.691697 ], train_acc=[0.87045 0.09875]
16/100: train_loss=[ 0.38907418 12.746587  ], train_acc=[0.8736 0.0981]
18/100: train_loss=[ 0.38143674 13.072691  ], train_acc=[0.8743  0.09935]
20/100: train_loss=[ 0.36521327 13.114232  ], train_acc=[0.8821 0.0987]
22/100: train_loss=[ 0.3627937 13.215864 ], train_acc=[0.88145 0.0991 ]
24/100: train_loss=[ 0.35777006 12.921632  ], train_acc=[0.88335 0.0988 ]
26/100: train_loss=[ 0.34984097 13.056939  ], train_acc=[0.88625 0.0997 ]
28/100: train_loss=[ 0.33980036 12.689007  ], train_acc=[0.8894 0.0999]
30/100: train_loss=[ 0.35160163 12.780936  ], train_acc=[0.8846  0.09965]
32/100: train_loss=[ 0.33827245 12.999087  ], train_acc=[0.89015 0.0998 ]
34/100: train_loss=[ 0.3258766 12.729844 ], train_acc=[0.89325 0.09935]
36/100: train_loss=[ 0.33031675 12.8559675 ], train_acc=[0.8911 0.0997]
38/100: train_loss=[ 0.321632 12.941572], train_acc=[0.89555 0.1004 ]
40/100: train_loss=[ 0.32306823 13.068469  ], train_acc=[0.89265 0.10055]
42/100: train_loss=[ 0.31835356 13.275437  ], train_acc=[0.8964 0.1001]
44/100: train_loss=[ 0.32412985 13.082738  ], train_acc=[0.8941  0.10055]
46/100: train_loss=[ 0.31834403 13.488714  ], train_acc=[0.89605 0.1005 ]
48/100: train_loss=[ 0.31345722 13.263631  ], train_acc=[0.8978  0.10035]
50/100: train_loss=[ 0.32076228 12.812746  ], train_acc=[0.89595 0.1001 ]
52/100: train_loss=[ 0.31469342 13.604446  ], train_acc=[0.8972  0.10005]
54/100: train_loss=[ 0.31357387 13.059122  ], train_acc=[0.89865 0.0995 ]
56/100: train_loss=[ 0.3127501 13.179029 ], train_acc=[0.89825 0.10015]
