Script started.
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.3377677 1.5641606], train_acc=[0.5543 0.4623]
2/100: train_loss=[1.0697734 1.320792 ], train_acc=[0.64335 0.54645]
4/100: train_loss=[0.8147271 0.9798833], train_acc=[0.735  0.6725]
6/100: train_loss=[0.70600337 0.86472875], train_acc=[0.7711 0.7077]
8/100: train_loss=[0.6755749 0.7576864], train_acc=[0.7795  0.75225]
10/100: train_loss=[0.5817202 0.7267621], train_acc=[0.8132  0.75055]
12/100: train_loss=[0.55988723 0.68776923], train_acc=[0.8201 0.7687]
14/100: train_loss=[0.527494  0.6353819], train_acc=[0.82885 0.78775]
16/100: train_loss=[0.54003227 0.612456  ], train_acc=[0.82285 0.79555]
18/100: train_loss=[0.5068503 0.5873713], train_acc=[0.8339 0.8026]
20/100: train_loss=[0.48829192 0.5653663 ], train_acc=[0.84375 0.81155]
22/100: train_loss=[0.45784035 0.53862834], train_acc=[0.84945 0.81825]
24/100: train_loss=[0.44827625 0.5330813 ], train_acc=[0.85405 0.82165]
26/100: train_loss=[0.4299915 0.5221746], train_acc=[0.86025 0.82515]
28/100: train_loss=[0.4173467 0.5524171], train_acc=[0.8642 0.816 ]
30/100: train_loss=[0.4169345 0.5156202], train_acc=[0.8649 0.8264]
32/100: train_loss=[0.4018819 0.5095525], train_acc=[0.86805 0.8339 ]
34/100: train_loss=[0.39768037 0.48368025], train_acc=[0.87125 0.8343 ]
36/100: train_loss=[0.39891765 0.46875864], train_acc=[0.86995 0.8427 ]
38/100: train_loss=[0.39219448 0.48539305], train_acc=[0.8705 0.8429]
40/100: train_loss=[0.3947443  0.48158884], train_acc=[0.8698 0.8373]
42/100: train_loss=[0.43107197 0.50205284], train_acc=[0.8576  0.83535]
44/100: train_loss=[0.37848765 0.44572687], train_acc=[0.8749 0.8538]
46/100: train_loss=[0.37396762 0.46452   ], train_acc=[0.87705 0.8466 ]
48/100: train_loss=[0.3636282  0.42428368], train_acc=[0.8786 0.8597]
50/100: train_loss=[0.35637936 0.4283008 ], train_acc=[0.88125 0.85825]
52/100: train_loss=[0.37165356 0.42688662], train_acc=[0.8766  0.85695]
54/100: train_loss=[0.3603458  0.44514573], train_acc=[0.87925 0.8519 ]
56/100: train_loss=[0.35435727 0.4106232 ], train_acc=[0.8834 0.8633]
58/100: train_loss=[0.35472903 0.41724178], train_acc=[0.88185 0.86095]
60/100: train_loss=[0.34486288 0.42534667], train_acc=[0.8845  0.85795]
62/100: train_loss=[0.33064404 0.42233506], train_acc=[0.8899 0.8604]
64/100: train_loss=[0.33039454 0.39256814], train_acc=[0.8894 0.8709]
66/100: train_loss=[0.33082777 0.40377116], train_acc=[0.8906  0.86675]
68/100: train_loss=[0.33784342 0.40204364], train_acc=[0.8881  0.86485]
70/100: train_loss=[0.3207708  0.38919494], train_acc=[0.89325 0.87215]
72/100: train_loss=[0.32869834 0.38968906], train_acc=[0.89195 0.8721 ]
74/100: train_loss=[0.31983918 0.38450152], train_acc=[0.89325 0.87155]
76/100: train_loss=[0.34785566 0.3980574 ], train_acc=[0.8875 0.8671]
78/100: train_loss=[0.31910434 0.3852013 ], train_acc=[0.895   0.87335]
80/100: train_loss=[0.33943182 0.39769986], train_acc=[0.8872  0.87145]
82/100: train_loss=[0.32759064 0.37795293], train_acc=[0.8904  0.87345]
84/100: train_loss=[0.31227547 0.38920742], train_acc=[0.89795 0.8707 ]
86/100: train_loss=[0.3107727  0.37444204], train_acc=[0.898  0.8763]
88/100: train_loss=[0.3205826  0.38249144], train_acc=[0.8955 0.8748]
90/100: train_loss=[0.30966005 0.37514353], train_acc=[0.89795 0.87425]
92/100: train_loss=[0.31034583 0.37697834], train_acc=[0.89895 0.87595]
94/100: train_loss=[0.32498088 0.37837484], train_acc=[0.89455 0.87335]
96/100: train_loss=[0.29908234 0.36634722], train_acc=[0.9014 0.8793]
98/100: train_loss=[0.29930508 0.37511533], train_acc=[0.9013  0.87565]
100/100: train_loss=[0.3012039 0.3679021], train_acc=[0.9005  0.87645]
**** Time taken for mnist_0 = 4140.223893404007
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.2544895 1.4893142], train_acc=[0.5734  0.49905]
2/100: train_loss=[0.9523538 1.1315401], train_acc=[0.68455 0.62185]
4/100: train_loss=[0.73673683 0.8576611 ], train_acc=[0.7593 0.7106]
6/100: train_loss=[0.65068835 0.7375674 ], train_acc=[0.7903  0.74885]
8/100: train_loss=[0.5828632  0.66920847], train_acc=[0.8109  0.77535]
10/100: train_loss=[0.5512659 0.6273213], train_acc=[0.82005 0.78475]
12/100: train_loss=[0.5240681 0.6325301], train_acc=[0.8282  0.78175]
14/100: train_loss=[0.48595062 0.54304606], train_acc=[0.84125 0.81645]
16/100: train_loss=[0.45617986 0.52877724], train_acc=[0.85205 0.8242 ]
18/100: train_loss=[0.45606652 0.5270703 ], train_acc=[0.84855 0.82285]
20/100: train_loss=[0.44904733 0.49739072], train_acc=[0.85305 0.83315]
22/100: train_loss=[0.40488917 0.5053551 ], train_acc=[0.86525 0.82965]
24/100: train_loss=[0.3893382  0.48695993], train_acc=[0.87035 0.8355 ]
26/100: train_loss=[0.38929537 0.45112485], train_acc=[0.8717 0.8478]
28/100: train_loss=[0.41342145 0.45619223], train_acc=[0.8619 0.8484]
30/100: train_loss=[0.3776071 0.4352166], train_acc=[0.87275 0.85155]
32/100: train_loss=[0.3789345  0.43992537], train_acc=[0.8754 0.8522]
