==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: weights=[0.22917227 0.7708277 ], train_loss=[1.8074546 1.1336423], train_acc=[0.36575 0.58185]
2/100: weights=[0.27261847 0.7273815 ], train_loss=[1.3662409 0.8992213], train_acc=[0.53655 0.6816 ]
4/100: weights=[0.56725574 0.43274426], train_loss=[1.0205982 0.8015165], train_acc=[0.6559  0.71145]
6/100: weights=[0.36206517 0.63793486], train_loss=[0.8486753 0.7343859], train_acc=[0.71905 0.7357 ]
8/100: weights=[0.24724865 0.75275135], train_loss=[0.7736002 0.7064149], train_acc=[0.7449  0.74455]
10/100: weights=[0.415954 0.584046], train_loss=[0.72283095 0.67011297], train_acc=[0.76025 0.758  ]
12/100: weights=[0.14148273 0.8585173 ], train_loss=[0.6620409 0.6488913], train_acc=[0.78385 0.7693 ]
14/100: weights=[0.51060665 0.48939338], train_loss=[0.6424479  0.63019025], train_acc=[0.78875 0.7729 ]
16/100: weights=[0.07793012 0.9220699 ], train_loss=[0.5961458 0.6409415], train_acc=[0.8061  0.76405]
18/100: weights=[0.28116482 0.7188352 ], train_loss=[0.5729367  0.60615593], train_acc=[0.81525 0.78115]
20/100: weights=[0.6800012  0.31999877], train_loss=[0.5492289  0.58889234], train_acc=[0.8209  0.78495]
22/100: weights=[0.4379433 0.5620567], train_loss=[0.581086  0.6024144], train_acc=[0.80775 0.77745]
24/100: weights=[0.42938998 0.57061005], train_loss=[0.5276109 0.5698367], train_acc=[0.82985 0.79625]
26/100: weights=[0.3779731 0.6220269], train_loss=[0.5939694 0.5852784], train_acc=[0.804  0.7876]
28/100: weights=[0.457057 0.542943], train_loss=[0.5017477  0.55371296], train_acc=[0.83845 0.8    ]
30/100: weights=[0.3073942 0.6926058], train_loss=[0.49628454 0.55032283], train_acc=[0.8372  0.80285]
32/100: weights=[0.6035619  0.39643812], train_loss=[0.49073657 0.5455855 ], train_acc=[0.83945 0.8015 ]
34/100: weights=[0.46929452 0.53070545], train_loss=[0.46670252 0.5389446 ], train_acc=[0.8499  0.80765]
36/100: weights=[0.7018325  0.29816753], train_loss=[0.54743767 0.5341847 ], train_acc=[0.81675 0.8045 ]
38/100: weights=[0.52738875 0.47261122], train_loss=[0.45201546 0.52519757], train_acc=[0.8537  0.81165]
40/100: weights=[0.33037177 0.66962826], train_loss=[0.44554034 0.52550346], train_acc=[0.85595 0.8114 ]
42/100: weights=[0.27570084 0.72429913], train_loss=[0.4442642 0.5349551], train_acc=[0.8583  0.80695]
44/100: weights=[0.04219198 0.957808  ], train_loss=[0.4346859 0.5152846], train_acc=[0.8606  0.81425]
46/100: weights=[0.03328703 0.96671295], train_loss=[0.43481165 0.5148419 ], train_acc=[0.8589  0.81275]
48/100: weights=[0.70844847 0.2915515 ], train_loss=[0.44562924 0.51140195], train_acc=[0.8549 0.8167]
50/100: weights=[0.27686256 0.72313744], train_loss=[0.42418188 0.50815976], train_acc=[0.86455 0.81825]
52/100: weights=[0.2068569 0.7931431], train_loss=[0.42082557 0.50607216], train_acc=[0.86415 0.81995]
54/100: weights=[0.5599139  0.44008616], train_loss=[0.41227072 0.5006212 ], train_acc=[0.8663 0.8182]
56/100: weights=[0.15261692 0.8473831 ], train_loss=[0.40708837 0.49958637], train_acc=[0.869   0.82005]
58/100: weights=[0.09915756 0.9008424 ], train_loss=[0.39868572 0.49753088], train_acc=[0.87285 0.82245]
60/100: weights=[0.2339343 0.7660657], train_loss=[0.4166725  0.50514346], train_acc=[0.86745 0.8163 ]
