Script started.
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.0339385 1.1985588], train_acc=[0.65775 0.5929 ]
2/100: train_loss=[0.8175562 0.9020655], train_acc=[0.73005 0.69505]
4/100: train_loss=[0.5872125 0.7336736], train_acc=[0.80745 0.75505]
6/100: train_loss=[0.5531577  0.63357735], train_acc=[0.8183 0.7849]
8/100: train_loss=[0.5078988 0.6051098], train_acc=[0.8323  0.79665]
10/100: train_loss=[0.4405125 0.5489023], train_acc=[0.8567  0.81565]
12/100: train_loss=[0.43771842 0.60075986], train_acc=[0.85675 0.7997 ]
14/100: train_loss=[0.4062404 0.5111734], train_acc=[0.8655  0.82895]
16/100: train_loss=[0.39452276 0.49011052], train_acc=[0.871   0.83335]
18/100: train_loss=[0.42839625 0.4753554 ], train_acc=[0.86    0.83955]
20/100: train_loss=[0.3732951 0.4578701], train_acc=[0.87975 0.84545]
22/100: train_loss=[0.37973076 0.4679943 ], train_acc=[0.87615 0.84145]
24/100: train_loss=[0.36268437 0.4472614 ], train_acc=[0.8799  0.84985]
26/100: train_loss=[0.35045564 0.4278062 ], train_acc=[0.88435 0.85565]
28/100: train_loss=[0.35157344 0.4261915 ], train_acc=[0.8826  0.85775]
30/100: train_loss=[0.34298572 0.42027834], train_acc=[0.88825 0.85775]
32/100: train_loss=[0.41042054 0.45046818], train_acc=[0.8687  0.84685]
34/100: train_loss=[0.33478707 0.4003235 ], train_acc=[0.88925 0.8661 ]
36/100: train_loss=[0.3281868  0.39702922], train_acc=[0.8931  0.86605]
38/100: train_loss=[0.32506722 0.4035277 ], train_acc=[0.89295 0.8644 ]
40/100: train_loss=[0.3228475  0.38742486], train_acc=[0.8947  0.87065]
42/100: train_loss=[0.3223712 0.4061909], train_acc=[0.89375 0.86135]
44/100: train_loss=[0.31309122 0.3843863 ], train_acc=[0.8957  0.87075]
46/100: train_loss=[0.308211   0.37467358], train_acc=[0.89815 0.87715]
48/100: train_loss=[0.32437298 0.37282547], train_acc=[0.8924 0.874 ]
50/100: train_loss=[0.31525427 0.38465938], train_acc=[0.8965 0.8728]
52/100: train_loss=[0.31804654 0.38261217], train_acc=[0.89725 0.87175]
54/100: train_loss=[0.31317872 0.36898878], train_acc=[0.8955  0.87495]
56/100: train_loss=[0.31017584 0.37203354], train_acc=[0.89635 0.87575]
58/100: train_loss=[0.30192804 0.3698858 ], train_acc=[0.90095 0.87615]
60/100: train_loss=[0.30368745 0.3706815 ], train_acc=[0.90035 0.87855]
62/100: train_loss=[0.29589784 0.3528978 ], train_acc=[0.9032 0.8828]
64/100: train_loss=[0.29885504 0.3536809 ], train_acc=[0.90385 0.8815 ]
66/100: train_loss=[0.30328697 0.36599463], train_acc=[0.90155 0.87785]
68/100: train_loss=[0.30004975 0.35987604], train_acc=[0.9019  0.88055]
70/100: train_loss=[0.32753333 0.35807863], train_acc=[0.89055 0.88255]
72/100: train_loss=[0.29348665 0.34979132], train_acc=[0.9049  0.88405]
74/100: train_loss=[0.29363808 0.35444313], train_acc=[0.90555 0.88355]
76/100: train_loss=[0.2927261  0.34498134], train_acc=[0.9028 0.8853]
78/100: train_loss=[0.32080486 0.3604374 ], train_acc=[0.8983 0.8806]
80/100: train_loss=[0.28651464 0.34878337], train_acc=[0.90645 0.8836 ]
82/100: train_loss=[0.29550958 0.34492528], train_acc=[0.90335 0.88515]
84/100: train_loss=[0.2883227  0.33989015], train_acc=[0.9063  0.88535]
86/100: train_loss=[0.2881823  0.33928087], train_acc=[0.90645 0.88745]
88/100: train_loss=[0.28940856 0.33736154], train_acc=[0.90595 0.8876 ]
90/100: train_loss=[0.2861343  0.33688506], train_acc=[0.90855 0.8873 ]
92/100: train_loss=[0.28660148 0.3333288 ], train_acc=[0.90625 0.88815]
94/100: train_loss=[0.2839486 0.3401912], train_acc=[0.9081  0.88875]
96/100: train_loss=[0.2885967 0.3372269], train_acc=[0.9072 0.8892]
98/100: train_loss=[0.28011343 0.34149107], train_acc=[0.9081 0.8864]
100/100: train_loss=[0.28604874 0.332235  ], train_acc=[0.9075 0.8898]
**** Time taken for mnist_0 = 4034.4823293685913
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[0.9938435 1.2353885], train_acc=[0.67235 0.5876 ]
2/100: train_loss=[0.7705671 0.929912 ], train_acc=[0.7466 0.6908]
4/100: train_loss=[0.6061557 0.7452873], train_acc=[0.80005 0.7519 ]
6/100: train_loss=[0.53307134 0.6413228 ], train_acc=[0.82545 0.78595]
8/100: train_loss=[0.46875972 0.5595705 ], train_acc=[0.8445  0.81405]
10/100: train_loss=[0.4382205  0.53446275], train_acc=[0.85475 0.8198 ]
12/100: train_loss=[0.42567924 0.5077804 ], train_acc=[0.86135 0.8282 ]
14/100: train_loss=[0.41181728 0.48387808], train_acc=[0.86455 0.83875]
16/100: train_loss=[0.38506323 0.46368563], train_acc=[0.87445 0.8445 ]
18/100: train_loss=[0.39077574 0.44963315], train_acc=[0.87395 0.8497 ]
20/100: train_loss=[0.37071112 0.4452577 ], train_acc=[0.8787  0.85105]
22/100: train_loss=[0.3659804  0.44120803], train_acc=[0.882   0.85235]
24/100: train_loss=[0.35468462 0.42226648], train_acc=[0.8854  0.85995]
26/100: train_loss=[0.34974834 0.42185783], train_acc=[0.8864 0.8572]
28/100: train_loss=[0.38087487 0.43405727], train_acc=[0.87795 0.85645]
30/100: train_loss=[0.34458914 0.40184352], train_acc=[0.8895  0.86555]
32/100: train_loss=[0.60679114 0.625689  ], train_acc=[0.80395 0.79185]
34/100: train_loss=[0.39378744 0.44014895], train_acc=[0.87535 0.85515]
36/100: train_loss=[0.36231554 0.41407648], train_acc=[0.8839  0.86305]
38/100: train_loss=[0.35377043 0.4089715 ], train_acc=[0.8863  0.86355]
40/100: train_loss=[0.36129987 0.410871  ], train_acc=[0.8848 0.8633]
42/100: train_loss=[0.33906555 0.39551738], train_acc=[0.8918  0.86915]
44/100: train_loss=[0.3339578 0.3934917], train_acc=[0.8929 0.8696]
46/100: train_loss=[0.3247384  0.38530254], train_acc=[0.8967 0.8712]
48/100: train_loss=[0.33015874 0.3792244 ], train_acc=[0.89465 0.874  ]
50/100: train_loss=[0.31897315 0.37779665], train_acc=[0.89755 0.87525]
52/100: train_loss=[0.32440272 0.373847  ], train_acc=[0.89545 0.87405]
54/100: train_loss=[0.3150409 0.3703209], train_acc=[0.8998  0.87785]
56/100: train_loss=[0.32074037 0.3731124 ], train_acc=[0.89765 0.8762 ]
58/100: train_loss=[0.45724034 0.4646171 ], train_acc=[0.8544 0.8429]
60/100: train_loss=[0.3213319  0.36774364], train_acc=[0.8969  0.87785]
62/100: train_loss=[0.30655193 0.3651786 ], train_acc=[0.90135 0.8781 ]
64/100: train_loss=[0.310135   0.38241416], train_acc=[0.89975 0.873  ]
66/100: train_loss=[0.30743808 0.36724666], train_acc=[0.90075 0.87705]
68/100: train_loss=[0.30345798 0.35477853], train_acc=[0.90115 0.882  ]
70/100: train_loss=[0.31006926 0.3645059 ], train_acc=[0.8997  0.87865]
72/100: train_loss=[0.29861563 0.36795616], train_acc=[0.9035  0.87785]
74/100: train_loss=[0.30197656 0.3654059 ], train_acc=[0.9026 0.8777]
76/100: train_loss=[0.30421153 0.3577894 ], train_acc=[0.90225 0.88065]
78/100: train_loss=[0.30082965 0.3534416 ], train_acc=[0.90335 0.8842 ]
80/100: train_loss=[0.29381052 0.35150248], train_acc=[0.9042  0.88355]
82/100: train_loss=[0.29867873 0.35716698], train_acc=[0.9036 0.8809]
84/100: train_loss=[0.29347494 0.35978442], train_acc=[0.90435 0.8815 ]
86/100: train_loss=[0.29204682 0.35491332], train_acc=[0.9046  0.88365]
88/100: train_loss=[0.28954205 0.36096606], train_acc=[0.9069  0.88105]
90/100: train_loss=[0.29279366 0.3465103 ], train_acc=[0.90485 0.8866 ]
92/100: train_loss=[0.29351598 0.34180513], train_acc=[0.90435 0.88705]
94/100: train_loss=[0.29061636 0.34009513], train_acc=[0.9057 0.8885]
96/100: train_loss=[0.28684068 0.34760028], train_acc=[0.9074 0.8846]
