==>>> total trainning batch number: 469
==>>> total testing batch number: 79
Preference Vector (4/5):
[0.382756   0.92384946]
fealsible solution is obtained.
1/100: weights=[ 0.99499184 -0.00500816], train_loss=[1.1220326 1.6082925], train_acc=[0.5906  0.42945]
2/100: weights=[0.7350951  0.26490492], train_loss=[0.9479102 1.35178  ], train_acc=[0.6474  0.51575]
4/100: weights=[0.7128935 0.2871065], train_loss=[0.8317111 1.167843 ], train_acc=[0.69365 0.58265]
6/100: weights=[0.48422647 0.51577353], train_loss=[0.76934105 1.0630548 ], train_acc=[0.71155 0.60865]
8/100: weights=[0.6175233 0.3824767], train_loss=[0.7528953 1.0082232], train_acc=[0.7177  0.62565]
10/100: weights=[0.38829258 0.6117074 ], train_loss=[0.70867    0.95907414], train_acc=[0.7398  0.64855]
12/100: weights=[0.73997456 0.26002547], train_loss=[0.68581694 0.909008  ], train_acc=[0.74875 0.66465]
14/100: weights=[0.68726134 0.31273857], train_loss=[0.6709517  0.87990224], train_acc=[0.75095 0.6763 ]
16/100: weights=[0.8091154  0.19088465], train_loss=[0.6598256 0.8584194], train_acc=[0.75765 0.6837 ]
18/100: weights=[0.7031417  0.29685834], train_loss=[0.6539096 0.8400999], train_acc=[0.75525 0.69125]
20/100: weights=[0.86496717 0.1350328 ], train_loss=[0.6421477  0.82603174], train_acc=[0.7594  0.69535]
22/100: weights=[0.66892564 0.33107442], train_loss=[0.63281214 0.80559206], train_acc=[0.762 0.703]
24/100: weights=[0.98611873 0.01388133], train_loss=[0.62822604 0.79355973], train_acc=[0.76805 0.7084 ]
26/100: weights=[0.83983743 0.1601625 ], train_loss=[0.6127711  0.78150433], train_acc=[0.77465 0.71425]
28/100: weights=[0.79923743 0.20076256], train_loss=[0.6311176 0.7751377], train_acc=[0.76815 0.71485]
30/100: weights=[0.5653979  0.43460208], train_loss=[0.6057797  0.76841223], train_acc=[0.77565 0.71505]
32/100: weights=[0.6333176  0.36668238], train_loss=[0.5888072 0.7491881], train_acc=[0.7809 0.7223]
34/100: weights=[0.658516   0.34148404], train_loss=[0.587849  0.7409108], train_acc=[0.7816  0.72465]
36/100: weights=[0.7603412 0.2396587], train_loss=[0.5848228 0.7327928], train_acc=[0.7844 0.7299]
38/100: weights=[0.79414135 0.20585866], train_loss=[0.5859962  0.73546785], train_acc=[0.785  0.7283]
40/100: weights=[0.68871987 0.31128016], train_loss=[0.5712253 0.7214036], train_acc=[0.7903 0.7348]
42/100: weights=[0.67366606 0.32633394], train_loss=[0.5770891 0.7167206], train_acc=[0.7862  0.73305]
44/100: weights=[0.98414034 0.01585971], train_loss=[0.5774824  0.71023256], train_acc=[0.7903  0.73605]
46/100: weights=[ 0.91264826 -0.08735175], train_loss=[0.5705717  0.70351815], train_acc=[0.79135 0.73925]
48/100: weights=[0.8488816  0.15111835], train_loss=[0.57362235 0.69817764], train_acc=[0.7858  0.74355]
50/100: weights=[0.8308     0.16919999], train_loss=[0.5793459  0.69334733], train_acc=[0.7857 0.742 ]
52/100: weights=[0.75858796 0.24141203], train_loss=[0.5672882 0.6880305], train_acc=[0.7955  0.74545]
54/100: weights=[0.48140863 0.51859134], train_loss=[0.56233644 0.68753177], train_acc=[0.79085 0.74515]
56/100: weights=[0.68712544 0.3128745 ], train_loss=[0.55448514 0.6803553 ], train_acc=[0.7965  0.74895]
58/100: weights=[0.5326424  0.46735758], train_loss=[0.5514907  0.67819405], train_acc=[0.80015 0.747  ]
60/100: weights=[0.46821478 0.53178525], train_loss=[0.5418744  0.67221624], train_acc=[0.8042  0.75435]
62/100: weights=[0.83278334 0.16721663], train_loss=[0.5512268  0.67001575], train_acc=[0.79945 0.7518 ]
64/100: weights=[0.94714904 0.05285095], train_loss=[0.54339397 0.6630775 ], train_acc=[0.80285 0.7561 ]
66/100: weights=[0.49373522 0.50626475], train_loss=[0.54510593 0.6679187 ], train_acc=[0.8013  0.75415]
68/100: weights=[0.7971129  0.20288709], train_loss=[0.5446299  0.65828365], train_acc=[0.80405 0.75805]
70/100: weights=[0.66722196 0.33277795], train_loss=[0.5333831 0.6592451], train_acc=[0.8065  0.75755]
72/100: weights=[0.75211614 0.24788386], train_loss=[0.54279613 0.6529316 ], train_acc=[0.8021 0.7607]
74/100: weights=[0.85008496 0.14991504], train_loss=[0.53867894 0.65106505], train_acc=[0.8071  0.76205]
76/100: weights=[0.739697  0.2603031], train_loss=[0.5304444  0.64710206], train_acc=[0.80855 0.76385]
78/100: weights=[0.8371737  0.16282628], train_loss=[0.53476477 0.6444753 ], train_acc=[0.8072  0.76395]
80/100: weights=[0.8684869  0.13151321], train_loss=[0.53164285 0.6443589 ], train_acc=[0.80615 0.7625 ]
82/100: weights=[0.71793544 0.28206453], train_loss=[0.537223   0.64360934], train_acc=[0.80355 0.7677 ]
84/100: weights=[0.5109768  0.48902318], train_loss=[0.52322507 0.64050186], train_acc=[0.8098 0.7631]
86/100: weights=[0.62753737 0.3724626 ], train_loss=[0.5333521  0.63333905], train_acc=[0.8082 0.7679]
88/100: weights=[0.7778299  0.22217005], train_loss=[0.5301612 0.6319627], train_acc=[0.806  0.7688]
90/100: weights=[0.52829844 0.47170156], train_loss=[0.52160794 0.64138764], train_acc=[0.8128 0.7704]
92/100: weights=[0.6291856  0.37081438], train_loss=[0.5222988  0.63140094], train_acc=[0.81015 0.7681 ]
94/100: weights=[0.56440926 0.4355907 ], train_loss=[0.5354123  0.62830263], train_acc=[0.80585 0.77   ]
96/100: weights=[0.44065955 0.5593404 ], train_loss=[0.5306873 0.6301915], train_acc=[0.807   0.77125]
98/100: weights=[0.71950084 0.2804992 ], train_loss=[0.52382445 0.6282905 ], train_acc=[0.81085 0.77085]
100/100: weights=[0.7635504  0.23644952], train_loss=[0.5176221 0.6233962], train_acc=[0.8131 0.7725]
**** Time taken for fashion_3 = 902.395101070404
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
Preference Vector (5/5):
[1.5707963e-04 1.0000000e+00]
fealsible solution is obtained.
1/100: weights=[0.869387   0.13061304], train_loss=[1.0603681 2.4872057], train_acc=[0.61725 0.20695]
2/100: weights=[ 0.8871491  -0.11285093], train_loss=[0.9580113 2.016388 ], train_acc=[0.6456  0.30275]
4/100: weights=[0.91084427 0.08915579], train_loss=[0.8276806 1.5845499], train_acc=[0.6922 0.4304]
6/100: weights=[0.61570686 0.3842932 ], train_loss=[0.76226586 1.3576171 ], train_acc=[0.71965 0.5128 ]
8/100: weights=[0.97744423 0.02255575], train_loss=[0.7325523 1.217013 ], train_acc=[0.728   0.55715]
10/100: weights=[0.7924102  0.20758976], train_loss=[0.7115943 1.1232815], train_acc=[0.73465 0.5922 ]
12/100: weights=[0.8618198  0.13818018], train_loss=[0.6922454 1.0719943], train_acc=[0.7419 0.6125]
14/100: weights=[0.69918525 0.30081475], train_loss=[0.6679885 1.0240588], train_acc=[0.7543 0.626 ]
16/100: weights=[0.8551151  0.14488488], train_loss=[0.6533998  0.97792673], train_acc=[0.7611 0.6454]
18/100: weights=[0.95857936 0.04142063], train_loss=[0.6409622 0.9451968], train_acc=[0.76515 0.65665]
20/100: weights=[0.76918125 0.23081875], train_loss=[0.63704413 0.9370304 ], train_acc=[0.7645 0.6586]
22/100: weights=[0.8400292  0.15997078], train_loss=[0.677983  0.9113361], train_acc=[0.7426  0.66855]
24/100: weights=[0.7670433  0.23295675], train_loss=[0.62130207 0.88479143], train_acc=[0.7718  0.67765]
26/100: weights=[0.94314873 0.05685122], train_loss=[0.62215674 0.87126297], train_acc=[0.77055 0.6767 ]
28/100: weights=[0.76186764 0.23813237], train_loss=[0.59728456 0.8522932 ], train_acc=[0.78075 0.68615]
30/100: weights=[0.78892624 0.21107379], train_loss=[0.6064833 0.8420953], train_acc=[0.77915 0.68885]
32/100: weights=[0.94183445 0.05816552], train_loss=[0.600386   0.83720803], train_acc=[0.77935 0.695  ]
34/100: weights=[0.84385055 0.15614948], train_loss=[0.59019214 0.8229744 ], train_acc=[0.78215 0.69795]
36/100: weights=[0.7600795 0.2399205], train_loss=[0.57722723 0.8113782 ], train_acc=[0.7901 0.7021]
38/100: weights=[0.9268289  0.07317111], train_loss=[0.5795817 0.8167608], train_acc=[0.79105 0.7026 ]
40/100: weights=[0.8565561  0.14344384], train_loss=[0.5901627  0.80263907], train_acc=[0.7825  0.70445]
42/100: weights=[0.8956403  0.10435966], train_loss=[0.5743774  0.78617495], train_acc=[0.7929 0.7111]
44/100: weights=[0.9947146  0.00528536], train_loss=[0.57248205 0.78007793], train_acc=[0.7908 0.7118]
46/100: weights=[0.8728976  0.12710238], train_loss=[0.5608095 0.7755644], train_acc=[0.797   0.71515]
48/100: weights=[0.7290233 0.2709767], train_loss=[0.5764793 0.7685992], train_acc=[0.7884 0.7175]
50/100: weights=[0.7261917  0.27380833], train_loss=[0.5580632 0.7624659], train_acc=[0.80015 0.71995]
52/100: weights=[0.74464643 0.25535357], train_loss=[0.55203694 0.7571767 ], train_acc=[0.79945 0.7203 ]
54/100: weights=[0.65253353 0.3474665 ], train_loss=[0.5488069 0.7529591], train_acc=[0.80095 0.7251 ]
56/100: weights=[0.8151832  0.18481682], train_loss=[0.55024916 0.7560058 ], train_acc=[0.8002 0.7188]
58/100: weights=[0.7926859  0.20731404], train_loss=[0.5552639 0.74838  ], train_acc=[0.7966  0.72435]
60/100: weights=[0.92768884 0.0723112 ], train_loss=[0.545329  0.7491298], train_acc=[0.8049 0.7248]
62/100: weights=[0.95131433 0.0486857 ], train_loss=[0.538685   0.73614883], train_acc=[0.80595 0.7293 ]
64/100: weights=[0.9526502  0.04734983], train_loss=[0.5402265  0.73863405], train_acc=[0.80795 0.72745]
66/100: weights=[0.5630012  0.43699878], train_loss=[0.54300606 0.73918784], train_acc=[0.8027  0.72755]
68/100: weights=[0.691171   0.30882895], train_loss=[0.53833944 0.74210453], train_acc=[0.8045 0.7229]
70/100: weights=[0.6543243  0.34567574], train_loss=[0.5463305 0.7290368], train_acc=[0.8016 0.7304]
72/100: weights=[0.697358 0.302642], train_loss=[0.5450103 0.7226336], train_acc=[0.8053 0.7336]
74/100: weights=[0.7776364  0.22236359], train_loss=[0.53787273 0.7190548 ], train_acc=[0.80765 0.7359 ]
76/100: weights=[0.8648386  0.13516146], train_loss=[0.5356183  0.72480744], train_acc=[0.8076  0.73495]
78/100: weights=[0.81477064 0.18522936], train_loss=[0.55236953 0.71839094], train_acc=[0.80265 0.73715]
80/100: weights=[0.83788234 0.16211765], train_loss=[0.5416336  0.70888853], train_acc=[0.80685 0.7394 ]
82/100: weights=[0.8730113  0.12698875], train_loss=[0.5311157  0.70740396], train_acc=[0.81065 0.74185]
84/100: weights=[ 0.96500987 -0.03499015], train_loss=[0.5430785  0.71204966], train_acc=[0.8059 0.7392]
86/100: weights=[0.7772408  0.22275922], train_loss=[0.5264603  0.70693237], train_acc=[0.8104  0.73695]
88/100: weights=[0.8757065  0.12429353], train_loss=[0.5315173  0.70043224], train_acc=[0.8128  0.74125]
90/100: weights=[0.90279126 0.09720873], train_loss=[0.5254821  0.70485854], train_acc=[0.8123  0.73925]
92/100: weights=[0.8221464  0.17785355], train_loss=[0.54689276 0.70437294], train_acc=[0.8027  0.73615]
94/100: weights=[0.80377966 0.19622035], train_loss=[0.5360842  0.70344394], train_acc=[0.8095  0.74125]
96/100: weights=[0.7030596  0.29694036], train_loss=[0.5235402 0.6953313], train_acc=[0.8143 0.743 ]
98/100: weights=[0.8562962  0.14370385], train_loss=[0.5281244 0.6970599], train_acc=[0.8112 0.7419]
100/100: weights=[0.7774143 0.2225857], train_loss=[0.51439   0.6935498], train_acc=[0.81685 0.74535]
